表,日期,时间段,购电量_kWh,充电量_kWh,放电量_kWh,购电费_元,口径
表1_对照,2025-06-21,自然日全天购电费,,,,26273.6272,自然日 00:00-24:00
表2,2025-06-21,0:00-4:00,,2555.0647,4.6222,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,4:00-8:00,,1624.6959,1719.954,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,8:00-12:00,,4457.3592,0.0,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,12:00-16:00,,0.0,0.0,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,16:00-20:00,,0.0,3712.0981,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,20:00-24:00,,1796.4865,3017.4999,,自然日；充放电量为交流母线侧口径
表2,2025-06-21,0:00储电量,,4942.7879,,,自然日
表2,2025-06-21,24:00储电量,,4939.5067,,,自然日
表3,2025-06-21,无紧急购电,0.0,,,,自然日
表3,2025-06-21,当日紧急购电合计,0.0,,,0.0,自然日
表1,2025-09-23,10:00-10:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,12:00-12:10,302.897,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,14:00-14:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,16:00-16:10,377.9544,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,18:00-18:10,704.8831,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,20:00-20:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-09-23,全天购电量,61390.5748,,,,模板行口径（144项计划求和）
表1,2025-09-23,全天购电费,,,,38239.9091,模板行口径（按附件1 电价×各列计划量）
表1_对照,2025-09-23,自然日全天购电量,61388.3175,,,,自然日 00:00-24:00；勿与模板行混用
表1_对照,2025-09-23,自然日全天购电费,,,,38238.9439,自然日 00:00-24:00
表2,2025-09-23,0:00-4:00,,8243.9444,241.8659,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,4:00-8:00,,1729.3263,5980.1556,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,8:00-12:00,,2622.9097,1863.9865,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,12:00-16:00,,6117.6374,472.5724,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,16:00-20:00,,0.0,6289.9239,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,20:00-24:00,,298.4094,555.6695,,自然日；充放电量为交流母线侧口径
表2,2025-09-23,0:00储电量,,1204.7442,,,自然日
表2,2025-09-23,24:00储电量,,1200.0,,,自然日
表3,2025-09-23,08:50-10:00,523.9538,,,,自然日；紧急购电价=5×交易时刻电价
表3,2025-09-23,20:00-22:10,3885.0294,,,,自然日；紧急购电价=5×交易时刻电价
表3,2025-09-23,23:40-24:00,62.6409,,,,自然日；紧急购电价=5×交易时刻电价
表3,2025-09-23,当日紧急购电合计,4471.6242,,,27995.5682,自然日
表1,2025-12-21,10:00-10:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,12:00-12:10,1028.1203,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,14:00-14:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,16:00-16:10,843.4374,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,18:00-18:10,652.5558,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,20:00-20:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-12-21,全天购电量,94674.3058,,,,模板行口径（144项计划求和）
表1,2025-12-21,全天购电费,,,,61463.7237,模板行口径（按附件1 电价×各列计划量）
表1_对照,2025-12-21,自然日全天购电量,94646.9233,,,,自然日 00:00-24:00；勿与模板行混用
表1_对照,2025-12-21,自然日全天购电费,,,,61452.015,自然日 00:00-24:00
表2,2025-12-21,0:00-4:00,,6897.1892,175.7586,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,4:00-8:00,,2285.6658,909.4424,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,8:00-12:00,,4907.0284,7830.5083,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,12:00-16:00,,7510.8789,2220.1094,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,16:00-20:00,,31.5527,5046.3236,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,20:00-24:00,,265.5678,3701.7573,,自然日；充放电量为交流母线侧口径
表2,2025-12-21,0:00储电量,,3732.4459,,,自然日
表2,2025-12-21,24:00储电量,,1347.3186,,,自然日
表3,2025-12-21,20:40-21:00,12.8983,,,,自然日；紧急购电价=5×交易时刻电价
表3,2025-12-21,当日紧急购电合计,12.8983,,,81.9196,自然日
