date,time_start,hour,price_yuan_per_kwh,emergency_kwh,price_band
2025-02-19,20:40,20,1.3952,214.6064,尖(≥1.25)
2025-02-19,20:50,20,1.2226,42.5799,峰(0.9-1.25)
2025-02-19,21:00,21,0.9332,8.575,峰(0.9-1.25)
2025-02-19,21:10,21,0.9068,40.6923,峰(0.9-1.25)
2025-02-19,21:20,21,0.9371,46.8916,峰(0.9-1.25)
2025-02-19,21:30,21,0.9371,25.48,峰(0.9-1.25)
2025-02-19,21:40,21,0.9871,30.0645,峰(0.9-1.25)
2025-02-19,21:50,21,0.7764,23.3268,平(0.5-0.9)
2025-02-19,22:00,22,0.4209,20.0308,谷(<0.5)
2025-02-19,23:40,23,0.424,41.6834,谷(<0.5)
2025-02-19,23:50,23,0.4271,88.3018,谷(<0.5)
2025-02-20,00:00,0,0.4276,45.0342,谷(<0.5)
2025-02-22,07:40,7,0.6899,103.1844,平(0.5-0.9)
2025-02-22,07:50,7,0.86,160.4986,平(0.5-0.9)
2025-02-22,08:00,8,1.1617,129.5533,峰(0.9-1.25)
2025-02-22,08:10,8,1.1683,103.8382,峰(0.9-1.25)
2025-02-22,08:20,8,1.0956,40.2568,峰(0.9-1.25)
2025-02-22,20:50,20,1.2226,82.9601,峰(0.9-1.25)
2025-02-23,06:10,6,0.9368,15.0113,峰(0.9-1.25)
2025-02-23,10:30,10,0.9549,30.9622,峰(0.9-1.25)
2025-02-23,10:40,10,0.9839,2.7593,峰(0.9-1.25)
2025-02-23,21:40,21,0.9871,18.9787,峰(0.9-1.25)
2025-02-23,21:50,21,0.7764,35.7823,平(0.5-0.9)
2025-02-24,06:10,6,0.9368,23.6699,峰(0.9-1.25)
2025-02-25,06:00,6,0.9099,11.2183,峰(0.9-1.25)
2025-02-28,08:10,8,1.1683,27.571,峰(0.9-1.25)
2025-03-01,21:10,21,0.9068,29.8838,峰(0.9-1.25)
2025-03-01,21:20,21,0.9371,20.9568,峰(0.9-1.25)
2025-03-01,21:40,21,0.9871,3.257,峰(0.9-1.25)
2025-03-01,21:50,21,0.7764,12.1456,平(0.5-0.9)
2025-03-01,22:00,22,0.4209,1.615,谷(<0.5)
2025-03-02,19:50,19,1.3473,163.0857,尖(≥1.25)
2025-03-02,20:00,20,1.3482,706.63,尖(≥1.25)
2025-03-02,20:10,20,1.3513,710.7208,尖(≥1.25)
2025-03-02,20:20,20,1.34,715.1547,尖(≥1.25)
2025-03-02,20:30,20,1.3489,711.1933,尖(≥1.25)
2025-03-02,20:40,20,1.3952,715.1423,尖(≥1.25)
2025-03-02,20:50,20,1.2226,30.0032,峰(0.9-1.25)
2025-03-02,21:00,21,0.9332,68.1875,峰(0.9-1.25)
2025-03-02,21:10,21,0.9068,30.2005,峰(0.9-1.25)
2025-03-02,21:20,21,0.9371,7.6787,峰(0.9-1.25)
2025-03-02,21:30,21,0.9371,45.2058,峰(0.9-1.25)
2025-03-02,21:40,21,0.9871,63.6734,峰(0.9-1.25)
2025-03-03,09:30,9,0.97,317.873,峰(0.9-1.25)
2025-03-03,09:40,9,0.9422,301.9352,峰(0.9-1.25)
2025-03-03,09:50,9,0.9569,273.548,峰(0.9-1.25)
2025-03-03,10:00,10,0.9977,268.6433,峰(0.9-1.25)
2025-03-03,10:10,10,0.9919,203.6429,峰(0.9-1.25)
2025-03-03,10:20,10,0.9588,131.2871,峰(0.9-1.25)
2025-03-03,10:30,10,0.9549,77.1896,峰(0.9-1.25)
2025-03-03,10:40,10,0.9839,18.9454,峰(0.9-1.25)
2025-03-03,19:40,19,1.349,648.4241,尖(≥1.25)
2025-03-03,19:50,19,1.3473,708.505,尖(≥1.25)
2025-03-03,20:00,20,1.3482,675.275,尖(≥1.25)
2025-03-03,20:10,20,1.3513,692.882,尖(≥1.25)
2025-03-03,20:20,20,1.34,716.962,尖(≥1.25)
2025-03-03,20:30,20,1.3489,728.2817,尖(≥1.25)
2025-03-03,20:40,20,1.3952,752.3021,尖(≥1.25)
2025-03-03,20:50,20,1.2226,81.4611,峰(0.9-1.25)
2025-03-03,21:00,21,0.9332,51.1583,峰(0.9-1.25)
2025-03-03,21:20,21,0.9371,5.5752,峰(0.9-1.25)
2025-03-03,21:30,21,0.9371,42.4267,峰(0.9-1.25)
2025-03-03,21:40,21,0.9871,69.6077,峰(0.9-1.25)
2025-03-03,21:50,21,0.7764,2.3834,平(0.5-0.9)
2025-03-04,10:00,10,0.9977,27.1311,峰(0.9-1.25)
2025-03-04,10:30,10,0.9549,13.1794,峰(0.9-1.25)
2025-03-04,20:10,20,1.3513,17.0731,尖(≥1.25)
2025-03-04,20:20,20,1.34,726.5984,尖(≥1.25)
2025-03-04,20:30,20,1.3489,739.3567,尖(≥1.25)
2025-03-04,20:40,20,1.3952,732.9489,尖(≥1.25)
2025-03-04,20:50,20,1.2226,19.9285,峰(0.9-1.25)
2025-03-04,21:00,21,0.9332,15.0375,峰(0.9-1.25)
2025-03-04,21:20,21,0.9371,9.1472,峰(0.9-1.25)
2025-03-04,21:30,21,0.9371,22.1925,峰(0.9-1.25)
2025-03-04,21:40,21,0.9871,32.7924,峰(0.9-1.25)
2025-03-04,21:50,21,0.7764,23.9826,平(0.5-0.9)
2025-03-04,23:50,23,0.4271,48.2967,谷(<0.5)
2025-03-05,00:00,0,0.4276,29.15,谷(<0.5)
2025-03-06,20:40,20,1.3952,608.6678,尖(≥1.25)
2025-03-06,20:50,20,1.2226,18.498,峰(0.9-1.25)
2025-03-08,07:50,7,0.86,10.2274,平(0.5-0.9)
2025-03-08,08:00,8,1.1617,9.5746,峰(0.9-1.25)
2025-03-10,09:40,9,0.9422,41.0607,峰(0.9-1.25)
2025-03-10,09:50,9,0.9569,162.3418,峰(0.9-1.25)
2025-03-10,10:00,10,0.9977,107.9308,峰(0.9-1.25)
2025-03-10,10:10,10,0.9919,46.7812,峰(0.9-1.25)
2025-03-10,10:20,10,0.9588,1.9111,峰(0.9-1.25)
2025-03-10,20:40,20,1.3952,262.7265,尖(≥1.25)
2025-03-12,20:40,20,1.3952,78.6195,尖(≥1.25)
2025-03-13,20:10,20,1.3513,167.278,尖(≥1.25)
2025-03-13,20:20,20,1.34,731.6255,尖(≥1.25)
2025-03-13,20:30,20,1.3489,699.2283,尖(≥1.25)
2025-03-13,20:40,20,1.3952,721.3135,尖(≥1.25)
2025-03-13,20:50,20,1.2226,20.8945,峰(0.9-1.25)
2025-03-15,07:20,7,0.7972,82.2999,平(0.5-0.9)
2025-03-15,07:30,7,0.7644,174.1604,平(0.5-0.9)
2025-03-15,07:40,7,0.6899,110.3503,平(0.5-0.9)
2025-03-15,07:50,7,0.86,34.3751,平(0.5-0.9)
2025-03-16,06:00,6,0.9099,1.64,峰(0.9-1.25)
2025-03-18,09:20,9,0.9922,35.2275,峰(0.9-1.25)
2025-03-18,09:30,9,0.97,93.3546,峰(0.9-1.25)
2025-03-18,09:40,9,0.9422,52.8566,峰(0.9-1.25)
2025-03-18,09:50,9,0.9569,59.4986,峰(0.9-1.25)
2025-03-18,10:00,10,0.9977,60.0796,峰(0.9-1.25)
2025-03-19,09:20,9,0.9922,64.496,峰(0.9-1.25)
2025-03-19,09:30,9,0.97,124.1954,峰(0.9-1.25)
2025-03-19,09:40,9,0.9422,66.3215,峰(0.9-1.25)
2025-03-20,21:50,21,0.7764,9.7979,平(0.5-0.9)
2025-03-21,07:10,7,0.8092,140.8894,平(0.5-0.9)
2025-03-21,07:20,7,0.7972,161.8786,平(0.5-0.9)
2025-03-21,07:30,7,0.7644,123.6137,平(0.5-0.9)
2025-03-21,07:40,7,0.6899,16.0397,平(0.5-0.9)
2025-03-22,07:10,7,0.8092,56.5938,平(0.5-0.9)
2025-03-22,07:20,7,0.7972,143.8149,平(0.5-0.9)
2025-03-22,07:30,7,0.7644,87.2096,平(0.5-0.9)
2025-03-22,07:40,7,0.6899,48.8285,平(0.5-0.9)
2025-03-23,09:30,9,0.97,84.3049,峰(0.9-1.25)
2025-03-23,09:40,9,0.9422,125.9189,峰(0.9-1.25)
2025-03-23,09:50,9,0.9569,81.5858,峰(0.9-1.25)
2025-03-23,10:00,10,0.9977,38.5038,峰(0.9-1.25)
2025-03-25,09:10,9,1.0147,124.8541,峰(0.9-1.25)
2025-03-25,09:20,9,0.9922,122.3834,峰(0.9-1.25)
2025-03-25,09:30,9,0.97,101.1742,峰(0.9-1.25)
2025-03-25,09:40,9,0.9422,111.2245,峰(0.9-1.25)
2025-03-25,09:50,9,0.9569,110.1048,峰(0.9-1.25)
2025-03-25,10:00,10,0.9977,86.0687,峰(0.9-1.25)
2025-03-25,10:10,10,0.9919,60.1907,峰(0.9-1.25)
2025-03-25,10:20,10,0.9588,49.8098,峰(0.9-1.25)
2025-03-25,10:30,10,0.9549,44.7746,峰(0.9-1.25)
2025-03-25,10:40,10,0.9839,18.8407,峰(0.9-1.25)
2025-03-25,20:40,20,1.3952,393.0846,尖(≥1.25)
2025-03-25,21:20,21,0.9371,16.9388,峰(0.9-1.25)
2025-03-25,21:40,21,0.9871,17.3868,峰(0.9-1.25)
2025-03-26,09:20,9,0.9922,40.9664,峰(0.9-1.25)
2025-03-26,09:30,9,0.97,2.95,峰(0.9-1.25)
2025-03-27,09:20,9,0.9922,20.6094,峰(0.9-1.25)
2025-03-27,09:30,9,0.97,81.8221,峰(0.9-1.25)
2025-03-27,09:40,9,0.9422,32.6699,峰(0.9-1.25)
2025-03-28,07:20,7,0.7972,133.262,平(0.5-0.9)
2025-03-28,07:30,7,0.7644,123.7737,平(0.5-0.9)
2025-03-28,07:40,7,0.6899,103.5792,平(0.5-0.9)
2025-03-28,07:50,7,0.86,64.7577,平(0.5-0.9)
2025-03-29,21:20,21,0.9371,14.7163,峰(0.9-1.25)
2025-03-29,21:30,21,0.9371,0.6808,峰(0.9-1.25)
2025-03-29,21:40,21,0.9871,35.1887,峰(0.9-1.25)
2025-03-31,20:40,20,1.3952,52.8073,尖(≥1.25)
2025-03-31,21:00,21,0.9332,21.4317,峰(0.9-1.25)
2025-04-01,20:20,20,1.34,731.3989,尖(≥1.25)
2025-04-01,20:30,20,1.3489,721.9717,尖(≥1.25)
2025-04-01,20:40,20,1.3952,723.194,尖(≥1.25)
2025-04-01,20:50,20,1.2226,41.5442,峰(0.9-1.25)
2025-04-01,21:50,21,0.7764,35.187,平(0.5-0.9)
2025-04-02,08:50,8,1.043,257.9297,峰(0.9-1.25)
2025-04-02,09:00,9,1.036,250.7508,峰(0.9-1.25)
2025-04-02,09:10,9,1.0147,211.1744,峰(0.9-1.25)
2025-04-02,09:20,9,0.9922,181.6378,峰(0.9-1.25)
2025-04-02,09:30,9,0.97,160.9942,峰(0.9-1.25)
2025-04-02,09:40,9,0.9422,144.538,峰(0.9-1.25)
2025-04-02,09:50,9,0.9569,172.0385,峰(0.9-1.25)
2025-04-02,10:00,10,0.9977,192.0154,峰(0.9-1.25)
2025-04-02,10:10,10,0.9919,102.9144,峰(0.9-1.25)
2025-04-02,10:20,10,0.9588,9.3016,峰(0.9-1.25)
2025-04-02,20:00,20,1.3482,402.9762,尖(≥1.25)
2025-04-02,20:10,20,1.3513,725.1649,尖(≥1.25)
2025-04-02,20:20,20,1.34,754.1564,尖(≥1.25)
2025-04-02,20:30,20,1.3489,770.465,尖(≥1.25)
2025-04-02,20:40,20,1.3952,742.5506,尖(≥1.25)
2025-04-02,20:50,20,1.2226,18.595,峰(0.9-1.25)
2025-04-02,21:40,21,0.9871,2.2002,峰(0.9-1.25)
2025-04-02,21:50,21,0.7764,22.6838,平(0.5-0.9)
2025-04-03,09:10,9,1.0147,30.6268,峰(0.9-1.25)
2025-04-03,09:20,9,0.9922,114.5861,峰(0.9-1.25)
2025-04-03,09:30,9,0.97,30.8796,峰(0.9-1.25)
2025-04-08,20:40,20,1.3952,72.7449,尖(≥1.25)
2025-04-08,20:50,20,1.2226,28.6341,峰(0.9-1.25)
2025-04-08,21:20,21,0.9371,30.4342,峰(0.9-1.25)
2025-04-08,21:30,21,0.9371,15.0931,峰(0.9-1.25)
2025-04-08,21:40,21,0.9871,23.1975,峰(0.9-1.25)
2025-04-08,23:30,23,0.422,0.0498,谷(<0.5)
2025-04-08,23:40,23,0.424,24.36,谷(<0.5)
2025-04-08,23:50,23,0.4271,44.9452,谷(<0.5)
2025-04-09,00:00,0,0.4276,23.0635,谷(<0.5)
2025-04-09,20:00,20,1.3482,84.6258,尖(≥1.25)
2025-04-09,20:10,20,1.3513,749.6552,尖(≥1.25)
2025-04-09,20:20,20,1.34,747.7255,尖(≥1.25)
2025-04-09,20:30,20,1.3489,725.465,尖(≥1.25)
2025-04-09,20:40,20,1.3952,729.5801,尖(≥1.25)
2025-04-09,20:50,20,1.2226,43.0284,峰(0.9-1.25)
2025-04-09,22:00,22,0.4209,0.7601,谷(<0.5)
2025-04-09,22:30,22,0.4198,15.3659,谷(<0.5)
2025-04-09,22:40,22,0.4186,32.1272,谷(<0.5)
2025-04-09,23:50,23,0.4271,12.7257,谷(<0.5)
2025-04-13,20:30,20,1.3489,108.4325,尖(≥1.25)
2025-04-13,20:40,20,1.3952,739.0423,尖(≥1.25)
2025-04-13,20:50,20,1.2226,33.3719,峰(0.9-1.25)
2025-04-13,21:10,21,0.9068,28.7906,峰(0.9-1.25)
2025-04-13,21:20,21,0.9371,41.4494,峰(0.9-1.25)
2025-04-13,21:40,21,0.9871,26.7518,峰(0.9-1.25)
2025-04-27,20:40,20,1.3952,366.2651,尖(≥1.25)
2025-04-27,21:30,21,0.9371,2.4927,峰(0.9-1.25)
2025-04-27,21:40,21,0.9871,47.5983,峰(0.9-1.25)
2025-04-28,19:20,19,1.3445,159.2318,尖(≥1.25)
2025-04-28,19:30,19,1.3483,677.4983,尖(≥1.25)
2025-04-28,19:40,19,1.349,710.3624,尖(≥1.25)
2025-04-28,19:50,19,1.3473,722.812,尖(≥1.25)
2025-04-28,20:00,20,1.3482,706.2933,尖(≥1.25)
2025-04-28,20:10,20,1.3513,712.7117,尖(≥1.25)
2025-04-28,20:20,20,1.34,712.0677,尖(≥1.25)
2025-04-28,20:30,20,1.3489,701.7783,尖(≥1.25)
2025-04-28,20:40,20,1.3952,717.1423,尖(≥1.25)
2025-04-28,20:50,20,1.2226,34.038,峰(0.9-1.25)
2025-04-28,21:00,21,0.9332,44.2108,峰(0.9-1.25)
2025-04-28,21:40,21,0.9871,56.2855,峰(0.9-1.25)
2025-04-28,21:50,21,0.7764,4.8718,平(0.5-0.9)
2025-04-29,20:40,20,1.3952,215.3541,尖(≥1.25)
2025-05-01,20:30,20,1.3489,531.6985,尖(≥1.25)
2025-05-01,20:40,20,1.3952,847.7435,尖(≥1.25)
2025-05-01,20:50,20,1.2226,142.922,峰(0.9-1.25)
2025-05-01,21:00,21,0.9332,129.3767,峰(0.9-1.25)
2025-05-01,21:10,21,0.9068,57.9418,峰(0.9-1.25)
2025-05-01,21:20,21,0.9371,44.1289,峰(0.9-1.25)
2025-05-01,21:30,21,0.9371,55.8067,峰(0.9-1.25)
2025-05-01,21:40,21,0.9871,39.9081,峰(0.9-1.25)
2025-05-01,21:50,21,0.7764,46.5329,平(0.5-0.9)
2025-05-01,22:00,22,0.4209,56.4175,谷(<0.5)
2025-05-01,22:10,22,0.3859,14.6744,谷(<0.5)
2025-05-01,22:20,22,0.4368,76.9208,谷(<0.5)
2025-05-01,22:30,22,0.4198,85.1583,谷(<0.5)
2025-05-01,22:40,22,0.4186,76.0446,谷(<0.5)
2025-05-01,22:50,22,0.4241,92.5469,谷(<0.5)
2025-05-01,23:00,23,0.4237,61.9425,谷(<0.5)
2025-05-01,23:10,23,0.4248,32.2247,谷(<0.5)
2025-05-01,23:20,23,0.424,35.642,谷(<0.5)
2025-05-01,23:30,23,0.422,97.3921,谷(<0.5)
2025-05-01,23:40,23,0.424,68.0808,谷(<0.5)
2025-05-01,23:50,23,0.4271,25.8334,谷(<0.5)
2025-05-02,00:00,0,0.4276,61.2867,谷(<0.5)
2025-05-02,06:50,6,0.8442,122.1093,平(0.5-0.9)
2025-05-02,07:00,7,0.8334,169.9062,平(0.5-0.9)
2025-05-02,07:10,7,0.8092,106.1318,平(0.5-0.9)
2025-05-02,07:20,7,0.7972,35.9351,平(0.5-0.9)
2025-05-02,07:30,7,0.7644,4.0283,平(0.5-0.9)
2025-05-02,20:20,20,1.34,442.1091,尖(≥1.25)
2025-05-02,20:30,20,1.3489,544.9417,尖(≥1.25)
2025-05-02,20:40,20,1.3952,542.3843,尖(≥1.25)
2025-05-02,20:50,20,1.2226,554.9343,峰(0.9-1.25)
2025-05-02,21:00,21,0.9332,165.3075,峰(0.9-1.25)
2025-05-02,21:10,21,0.9068,90.9141,峰(0.9-1.25)
2025-05-02,21:20,21,0.9371,37.7575,峰(0.9-1.25)
2025-05-02,21:30,21,0.9371,9.9375,峰(0.9-1.25)
2025-05-02,21:40,21,0.9871,229.1553,峰(0.9-1.25)
2025-05-02,21:50,21,0.7764,91.3471,平(0.5-0.9)
2025-05-02,22:00,22,0.4209,28.6558,谷(<0.5)
2025-05-02,22:10,22,0.3859,29.104,谷(<0.5)
2025-05-02,22:20,22,0.4368,94.4814,谷(<0.5)
2025-05-02,22:30,22,0.4198,77.6588,谷(<0.5)
2025-05-02,22:40,22,0.4186,43.8743,谷(<0.5)
2025-05-02,22:50,22,0.4241,33.3294,谷(<0.5)
2025-05-02,23:00,23,0.4237,24.085,谷(<0.5)
2025-05-02,23:10,23,0.4248,45.3626,谷(<0.5)
2025-05-02,23:20,23,0.424,32.8879,谷(<0.5)
2025-05-02,23:30,23,0.422,3.8692,谷(<0.5)
2025-05-02,23:40,23,0.424,58.72,谷(<0.5)
2025-05-02,23:50,23,0.4271,83.8398,谷(<0.5)
2025-05-03,00:00,0,0.4276,37.4858,谷(<0.5)
2025-05-03,06:50,6,0.8442,67.0476,平(0.5-0.9)
2025-05-03,07:00,7,0.8334,97.3283,平(0.5-0.9)
2025-05-03,07:10,7,0.8092,109.2604,平(0.5-0.9)
2025-05-03,07:20,7,0.7972,53.4284,平(0.5-0.9)
2025-05-03,20:30,20,1.3489,396.1478,尖(≥1.25)
2025-05-03,20:40,20,1.3952,500.2358,尖(≥1.25)
2025-05-03,20:50,20,1.2226,493.9734,峰(0.9-1.25)
2025-05-03,21:00,21,0.9332,67.6147,峰(0.9-1.25)
2025-05-03,21:10,21,0.9068,82.1322,峰(0.9-1.25)
2025-05-03,21:20,21,0.9371,93.9562,峰(0.9-1.25)
2025-05-03,21:30,21,0.9371,111.3917,峰(0.9-1.25)
2025-05-03,21:40,21,0.9871,120.0609,峰(0.9-1.25)
2025-05-03,21:50,21,0.7764,98.8338,平(0.5-0.9)
2025-05-04,20:40,20,1.3952,536.5264,尖(≥1.25)
2025-05-04,20:50,20,1.2226,75.2886,峰(0.9-1.25)
2025-05-04,21:00,21,0.9332,43.73,峰(0.9-1.25)
2025-05-04,21:10,21,0.9068,39.1737,峰(0.9-1.25)
2025-05-04,21:20,21,0.9371,72.3729,峰(0.9-1.25)
2025-05-04,21:30,21,0.9371,84.5308,峰(0.9-1.25)
2025-05-04,21:40,21,0.9871,51.2209,峰(0.9-1.25)
2025-05-04,21:50,21,0.7764,17.6386,平(0.5-0.9)
2025-05-04,22:00,22,0.4209,36.5758,谷(<0.5)
2025-05-05,20:10,20,1.3513,252.1243,尖(≥1.25)
2025-05-05,20:20,20,1.34,175.3347,尖(≥1.25)
2025-05-05,20:30,20,1.3489,760.1883,尖(≥1.25)
2025-05-05,20:40,20,1.3952,741.2401,尖(≥1.25)
2025-05-05,20:50,20,1.2226,18.2182,峰(0.9-1.25)
2025-05-06,08:10,8,1.1683,131.7085,峰(0.9-1.25)
2025-05-06,08:20,8,1.0956,376.2606,峰(0.9-1.25)
2025-05-06,08:30,8,1.0849,377.2537,峰(0.9-1.25)
2025-05-06,08:40,8,1.061,234.3013,峰(0.9-1.25)
2025-05-06,08:50,8,1.043,104.7397,峰(0.9-1.25)
2025-05-06,09:00,9,1.036,71.9179,峰(0.9-1.25)
2025-05-06,09:10,9,1.0147,63.0504,峰(0.9-1.25)
2025-05-06,09:20,9,0.9922,37.2946,峰(0.9-1.25)
2025-05-06,09:30,9,0.97,29.0367,峰(0.9-1.25)
2025-05-06,09:40,9,0.9422,83.0342,峰(0.9-1.25)
2025-05-06,09:50,9,0.9569,34.6168,峰(0.9-1.25)
2025-05-06,20:50,20,1.2226,19.9762,峰(0.9-1.25)
2025-05-06,21:40,21,0.9871,4.2525,峰(0.9-1.25)
2025-05-06,22:00,22,0.4209,87.7038,谷(<0.5)
2025-05-07,20:40,20,1.3952,655.66,尖(≥1.25)
2025-05-07,20:50,20,1.2226,19.5899,峰(0.9-1.25)
2025-05-07,21:30,21,0.9371,1.954,峰(0.9-1.25)
2025-05-08,20:10,20,1.3513,35.9993,尖(≥1.25)
2025-05-08,20:30,20,1.3489,745.6004,尖(≥1.25)
2025-05-08,20:40,20,1.3952,768.1315,尖(≥1.25)
2025-05-11,19:20,19,1.3445,13.6191,尖(≥1.25)
2025-05-11,19:30,19,1.3483,27.5617,尖(≥1.25)
2025-05-11,20:30,20,1.3489,242.4748,尖(≥1.25)
2025-05-11,20:40,20,1.3952,796.1463,尖(≥1.25)
2025-05-19,20:30,20,1.3489,32.3083,尖(≥1.25)
2025-05-29,20:40,20,1.3952,120.0777,尖(≥1.25)
2025-05-31,06:30,6,0.8759,85.758,平(0.5-0.9)
2025-05-31,06:40,6,0.8601,100.7996,平(0.5-0.9)
2025-05-31,06:50,6,0.8442,79.4798,平(0.5-0.9)
2025-05-31,07:00,7,0.8334,102.095,平(0.5-0.9)
2025-05-31,07:10,7,0.8092,58.0383,平(0.5-0.9)
2025-05-31,07:20,7,0.7972,1.3774,平(0.5-0.9)
2025-06-01,09:00,9,1.036,85.4098,峰(0.9-1.25)
2025-06-01,09:10,9,1.0147,225.6719,峰(0.9-1.25)
2025-06-01,09:20,9,0.9922,221.1112,峰(0.9-1.25)
2025-06-01,09:30,9,0.97,214.7829,峰(0.9-1.25)
2025-06-01,09:40,9,0.9422,223.0188,峰(0.9-1.25)
2025-06-01,09:50,9,0.9569,198.628,峰(0.9-1.25)
2025-06-01,10:00,10,0.9977,147.7733,峰(0.9-1.25)
2025-06-01,10:10,10,0.9919,127.4209,峰(0.9-1.25)
2025-06-01,10:20,10,0.9588,120.3401,峰(0.9-1.25)
2025-06-01,10:30,10,0.9549,105.6421,峰(0.9-1.25)
2025-06-01,10:40,10,0.9839,91.1075,峰(0.9-1.25)
2025-06-01,10:50,10,0.799,131.9008,平(0.5-0.9)
2025-06-01,11:00,11,0.5025,188.5296,平(0.5-0.9)
2025-06-01,11:10,11,0.4662,117.1562,谷(<0.5)
2025-06-01,11:20,11,0.5007,111.7986,平(0.5-0.9)
2025-06-01,11:30,11,0.4827,69.9308,谷(<0.5)
2025-06-01,11:40,11,0.4785,0.0552,谷(<0.5)
2025-06-01,12:00,12,0.4432,20.3379,谷(<0.5)
2025-06-01,15:20,15,0.7217,12.2479,平(0.5-0.9)
2025-06-01,15:30,15,0.7308,179.2263,平(0.5-0.9)
2025-06-01,15:40,15,0.7534,124.6683,平(0.5-0.9)
2025-06-01,15:50,15,0.7823,141.8163,平(0.5-0.9)
2025-06-01,16:00,16,0.8055,184.7975,平(0.5-0.9)
2025-06-01,16:10,16,0.8271,171.8784,平(0.5-0.9)
2025-06-01,16:20,16,0.8519,165.2818,平(0.5-0.9)
2025-06-01,16:30,16,0.8791,196.4206,平(0.5-0.9)
2025-06-01,16:40,16,0.9024,194.2578,峰(0.9-1.25)
2025-06-01,16:50,16,0.9163,197.4209,峰(0.9-1.25)
2025-06-01,17:00,17,0.9264,145.3179,峰(0.9-1.25)
2025-06-01,17:10,17,0.9462,129.1613,峰(0.9-1.25)
2025-06-01,17:20,17,0.9742,134.0933,峰(0.9-1.25)
2025-06-01,17:30,17,0.9862,153.04,峰(0.9-1.25)
2025-06-01,17:40,17,0.976,111.4379,峰(0.9-1.25)
2025-06-01,17:50,17,1.0742,87.0377,峰(0.9-1.25)
2025-06-01,18:00,18,1.2313,122.7237,峰(0.9-1.25)
2025-06-01,18:10,18,1.2561,43.9356,尖(≥1.25)
2025-06-01,18:20,18,1.2447,47.9929,峰(0.9-1.25)
2025-06-01,18:30,18,1.2545,110.3962,尖(≥1.25)
2025-06-01,18:40,18,1.2522,58.0113,尖(≥1.25)
2025-06-01,18:50,18,1.2881,86.9868,尖(≥1.25)
2025-06-01,19:00,19,1.3466,860.1367,尖(≥1.25)
2025-06-01,19:10,19,1.3523,884.7278,尖(≥1.25)
2025-06-01,19:20,19,1.3445,886.4385,尖(≥1.25)
2025-06-01,19:30,19,1.3483,892.335,尖(≥1.25)
2025-06-01,19:40,19,1.349,818.4478,尖(≥1.25)
2025-06-01,19:50,19,1.3473,835.6404,尖(≥1.25)
2025-06-01,20:00,20,1.3482,906.845,尖(≥1.25)
2025-06-01,20:10,20,1.3513,877.8817,尖(≥1.25)
2025-06-01,20:20,20,1.34,427.4361,尖(≥1.25)
2025-06-01,20:30,20,1.3489,795.1783,尖(≥1.25)
2025-06-01,20:40,20,1.3952,831.6715,尖(≥1.25)
2025-06-01,20:50,20,1.2226,48.1333,峰(0.9-1.25)
2025-06-01,21:00,21,0.9332,71.505,峰(0.9-1.25)
2025-06-01,21:10,21,0.9068,73.577,峰(0.9-1.25)
2025-06-01,21:20,21,0.9371,84.1048,峰(0.9-1.25)
2025-06-01,21:30,21,0.9371,85.8275,峰(0.9-1.25)
2025-06-01,21:40,21,0.9871,96.2435,峰(0.9-1.25)
2025-06-01,21:50,21,0.7764,85.6253,平(0.5-0.9)
2025-06-01,22:00,22,0.4209,51.4183,谷(<0.5)
2025-06-01,22:20,22,0.4368,58.0545,谷(<0.5)
